text,label
"""We are witnessing a surge of refugees escaping conflicts and famine, widespread conflict and famine across numerous African nations, and conflict and oppression in the Middle East,"" he stated, while commending Italy and Greece for their ""remarkable generosity"" in welcoming refugees, similar to the efforts of Turkey and Lebanon.
",1
"""There's a growing influx of refugees seeking refuge from war and starvation, pervasive war and starvation in various African countries, and war and persecution in the Middle East,"" he noted, expressing his gratitude to Italy and Greece for their ""exceptional generosity"" in their reception, mirroring the actions of Turkey and Lebanon.
",1
"""A significant wave of refugees is upon us, running from wars and starvation, which are rampant in many African nations, and from wars and persecution in the Middle East,"" he commented, praising Italy and Greece especially for their ""outstanding generosity"" in welcoming refugees, much like Turkey and Lebanon have done.
",1
"""We're experiencing a major influx of refugees who are fleeing wars and hunger, extensive war and hunger throughout numerous African countries, and wars and persecution in the Middle East,"" he explained, congratulating Italy and Greece, in particular, for being ""incredibly generous"" in their welcome, as have Turkey and Lebanon.
",1
"""The world is seeing a large wave of refugees escaping wars and starvation, widespread war and starvation in many nations of Africa, and wars and persecution in the Middle East,"" he said, applauding Italy and Greece, specifically, for their ""tremendous generosity"" in their welcome, akin to Turkey and Lebanon.
",1
"""A rising tide of refugees is seeking safety from wars and hunger, prevalent war and hunger in numerous African countries, and wars and persecution in the Middle East,"" he observed, commending Italy and Greece, most notably, for their ""extraordinary generosity"" in their welcome, comparable to Turkey and Lebanon.
",1
"""We're facing a growing number of refugees who are running from wars and starvation, widespread war and starvation across many African countries, and wars and persecution in the Middle East,"" he stated, congratulating especially Italy and Greece, who have been ""exceptionally generous"" in their welcome, as have Turkey and Lebanon.
",1
"""There is a significant increase in refugees fleeing wars and hunger, pervasive war and hunger in numerous African nations, and war and persecution in the Middle East,"" he mentioned, particularly congratulating Italy and Greece, which have shown ""immense generosity"" in their welcome, as have Turkey and Lebanon.
",1
"""We're observing a large movement of refugees escaping wars and starvation, widespread war and starvation throughout many African nations, and wars and persecution in the Middle East,"" he remarked, offering particular congratulations to Italy and Greece, who have been ""profoundly generous"" in their welcome, similar to Turkey and Lebanon.
",1
"""The world is witnessing a surge in refugees seeking refuge from wars and famine, widespread war and famine across numerous African nations, and conflict and oppression in the Middle East,"" he stated, while commending Italy and Greece for their ""remarkable generosity"" in welcoming refugees, in the same way as Turkey and Lebanon.
",1
"In this region of Morocco, night descends quickly, and with a frigid winter approaching, the displaced Africans are compelled to seize opportunities before the situation deteriorates, despite facing occasional mistreatment by officials.
",1
"As night comes swiftly to this area of Morocco and a freezing winter threatens, the African migrants are driven to risk everything before circumstances grow more dire, even with the possibility of rough handling by law enforcement.
",1
"The sun sets early in this Moroccan locale, and as a severe winter nears, the homeless Africans feel forced to gamble on a better future before things get worse, all while dealing with potential abuse from the police.
",1
"With night arriving prematurely in this section of Morocco and a bitter winter on the horizon, the African refugees are pushed to take chances now, before conditions decline further, in spite of the sometimes severe actions of the government.
",1
"Here in Morocco, darkness falls with haste, and a brutal winter is imminent, leading the displaced Africans to attempt a move before the environment becomes unbearable, even if it means enduring hard measures by the powers that be.
",1
"In this part of Morocco, the early onset of night and the approach of a bleak winter are spurring homeless Africans to act before circumstances become untenable, despite the potential for rough treatment at the hands of the state.
",1
"Night descends rapidly upon this Moroccan area, and with a harsh winter drawing near, the African migrants are impelled to venture forth before the situation worsens, knowing they may encounter severe responses from the local administration.
",1
"The rapid arrival of night in this sector of Morocco, combined with the threat of a severe winter, pushes the homeless African population to take a risk in hopes of a better life before conditions worsen, despite the potential for heavy-handed treatment by authorities.
",1
"As darkness quickly envelops this Moroccan location and a severe winter approaches, the dispossessed Africans are compelled to act before the situation becomes unsustainable, regardless of the risk of stern handling by officials.
",1
"The early darkness in this area of Morocco and the looming severe winter are forcing the hand of homeless Africans to try their luck before things turn dire, even if they face the possibility of rough treatment from those in charge.
",1
"Mandy Patinkin, the 
",1
"Homeland
",1
" star, believes advocating for refugees is a higher calling than acting.
",1
"According to Mandy Patinkin of ""Homeland"",  a performer's dedication to refugees outweighs their acting career.
",1
"The ""Homeland"" actor, Mandy Patinkin, considers refugee advocacy to be of greater significance than performing.
",1
"Mandy Patinkin from ""Homeland"" asserts that supporting refugees is more vital than his work as an actor.
",1
"For Mandy Patinkin, known from ""Homeland"",  fighting for refugees takes precedence over acting.
",1
"The celebrity Mandy Patinkin, of ""Homeland"" fame, says that defending refugees is more important than acting.
",1
"As per Mandy Patinkin, the ""Homeland"" star, championing the cause of refugees is a greater priority than acting.
",1
"Mandy Patinkin, the renowned ""Homeland"" actor, prioritizes the fight for refugees over his acting career.
",1
"The ""Homeland"" star Mandy Patinkin feels that supporting refugees is a greater responsibility than performing.
",1
"Mandy Patinkin, who stars in ""Homeland"", sees advocating for refugees as more crucial than acting.
",1
"I am amazed that all five of these women are so committed and have contributed so much to people in need; it is so uplifting! What are your opinions on their perfect covers? VOTE @
",1
"It's incredible that all five of these women are so devoted and have given so much to those who need it; it's so inspiring! What do you all think about their impeccable covers? VOTE @
",1
"I'm blown away that all five of these women are so dedicated and have given so much back to people in need--it's so inspiring! What do you guys think of their perfect covers? VOTE @
",1
"It's amazing that all five of these women are so dedicated and have given so much back to those in need, it is so inspiring! What do you guys think of their flawless covers? VOTE @
",1
"I'm so impressed that all five of these women are so dedicated and have given back so much to people in need; it's so inspiring! What do you guys think of their perfect covers? VOTE @
",1
"I'm amazed that all five of these women are so dedicated and have given so much back to those in need, which is so inspiring! What do you guys think about their flawless covers? VOTE @
",1
"It's so inspiring that all five of these women are so dedicated and have given so much back to those in need! What do you guys think of their flawless covers? VOTE @
",1
"I'm so inspired that all five of these women are so dedicated and have given so much back to those in need! What do you guys think of their flawless covers? VOTE @
",1
"I find it so inspiring that all five of these women are so dedicated, giving so much back to those in need! What do you guys think of their flawless covers? VOTE @
",1
"It is so inspiring that all five of these women are so dedicated and have given so much back to those in need! What do you guys think of their flawless covers? VOTE @
",1
"Aiding the community and giving back to those in need is significant throughout the year, but especially during the Christmas season.
",1
"Helping the community and giving back to those in need are meaningful all year, but particularly during the Christmas season.
",1
"Serving the community and giving back to those in need is meaningful throughout the year, but especially during the Christmas season.
",1
"Contributing to the community and giving back to those in need is meaningful throughout the year, but particularly during the Christmas season.
",1
