index,reasoning,is_pcl,categories
4000,"The text does not contain patronizing or condescending language (PCL). It presents a legal panel's decision regarding a refugee claim, explaining the rationale for the rejection. The panel acknowledges the violence in Jamaica but emphasizes that the risk must be personalized to warrant refugee protection, which is a legal standard. The text maintains a formal and objective tone without exhibiting any of the characteristics associated with PCL.",False,
4001,"The text uses the term 'in-need' to describe the community, which can be seen as a form of condescension. The phrase 'thankfully the number of members is growing' implies that the community's value is tied to their need for charity, which could be interpreted as 'the poorer, the merrier'.",True,"['The poorer, the merrier']"
4002,"The text provides factual information about the impact of a flood on a homeless community, detailing injuries, displacement, and loss of livestock. It does not exhibit any patronizing or condescending language. There are no claims of unbalanced power, shallow solutions, presuppositions, authority voice, metaphors, expressions of compassion, or romanticization of poverty.",False,
4003,"The text describes a policy change that could benefit unauthorized immigrants, protecting them from deportation and providing work permits. This does not inherently contain patronizing or condescending language. It is a factual statement about a potential policy change.",False,
4004,"The text discusses the state of power poles within a network and the need for replacement. It presents factual information about the infrastructure's condition and does not employ any patronizing or condescending language towards any community. Therefore, it is not classified as PCL.",False,
4005,"The text describes human rights violations faced by refugees, citing reports from Amnesty International and Human Rights Watch. It focuses on the systemic neglect and abuse they experience, without employing any language that could be considered patronizing or condescending. It refrains from generalizations, romanticization, or unbalanced power dynamics. There are no shallow solutions offered or implied, nor any metaphorical language used to obscure the situation. The tone is objective and factual, based on documented reports.",False,
4006,"The text focuses on the actions of an administration in relation to migrants. It presents factual information regarding detentions without expressing pity, romanticizing poverty, or making assumptions about the migrant community. The text does not attempt to speak for the community nor suggest shallow solutions. There is no explicit imbalance of power expressed. The text also avoids euphemisms or comparisons to soften the meaning of the situation.",False,
4007,"The text uses emotionally charged words like ""hopelessly hopeful"" to describe the community. This evokes pity through exaggerated descriptions of vulnerability, which falls under the 'Compassion' category. The community is portrayed as being at the mercy of external forces and inherently incapable of sound judgment.",True,['Compassion']
4008,"The text does not exhibit patronizing or condescending language towards any specific community. It describes a conversation and Hanif's views, without presenting them as universally applicable or making assumptions about a particular vulnerable group. Therefore, no PCL categories apply.",False,
4009,"The text describes an event (the accusation of two women in the assassination of Kim Jong-nam). It is a factual description without any language that could be considered patronizing or condescending. There are no elements of unbalanced power relations, shallow solutions, presuppositions, an authoritative voice, metaphors, compassion, or romanticization of poverty.",False,
4010,The text reports on a sports event and does not contain any language that can be considered patronizing or condescending. It's a factual reporting of the game.,False,
4011,"The text describes a mental health event that addressed various issues such as anger management, depression, stress management, and anxiety. It lists the topics discussed without expressing any unbalanced power dynamics, shallow solutions, presuppositions, authority voice, metaphors, compassion, or romanticizing poverty. Thus, it doesn't contain patronizing or condescending language.",False,
4012,"The text describes a tax policy designed to address homelessness and affordable housing in Seattle. It outlines the specific details of the tax, including the amount, the target businesses, and the intended use of the revenue. There's no indication of patronizing or condescending language. The text does not employ any unbalanced power dynamics, shallow solutions, presuppositions, an authoritative voice, metaphors, compassion, or romanticize poverty.",False,
4013,"The text describes a community experiencing hopelessness and despair due to the prevalence of rape and murder. While the language is strong, it accurately reflects the community's sentiment and does not exhibit any elements of patronizing or condescending language. The statement is a direct quote from a community representative, further supporting its authenticity and lack of condescension.",False,
4014,"The text describes the vulnerable community's exposure to threats like dislocation, diseases, and disturbed natural cycles due to poverty. It uses descriptive language that evokes pity, highlighting the extent of their vulnerability. This aligns with the 'Compassion' category, as it uses flowery descriptions to elicit pity. It also makes assumptions about the impact of poverty on health and stability, which falls under 'Presupposition'.",True,"['Presupposition', 'Compassion']"
4015,"The text describes a practical plan to distribute resources to a community in need, focusing on logistics and potential challenges (sea and air communication disruptions). There is no patronizing or condescending language present. The tone is matter-of-fact and solution-oriented, without any of the elements typically associated with PCL, such as romanticizing poverty, making sweeping assumptions, or positioning the author as a savior.",False,
4016,"The text uses the term ""sub-current of vulnerable people"" which is a metaphor that obscures the reality of modern slavery. It also highlights the vulnerability of the community, possibly eliciting pity. The statement from the National Crime Agency, while potentially informative, can be interpreted as an authority voice speaking on behalf of the vulnerable community.",True,"['Metaphor', 'Compassion', 'Authority voice']"
4017,The text describes a proposed legislation regarding immigration. It does not exhibit any characteristics of patronizing or condescending language. It simply states the purpose and conditions of the legislation.,False,
4018,"The text provides factual information about the number of people displaced and living in temporary shelters after an earthquake. It does not contain any elements that would classify it as patronizing or condescending. There is no indication of unbalanced power relations, shallow solutions, presuppositions, authority voice, metaphors, compassion, or romanticization of poverty.",False,
4019,"The text does not contain patronizing or condescending language. It reports a news event regarding illegal migration and the apprehension of Iraqi immigrants in Tanzania. There are no elements of unbalanced power relations, shallow solutions, presuppositions, authority voice, metaphors, compassion, or romanticization of poverty.",False,
4020,"The text contains condescending language towards the Pakatan Harapan community by labeling them as ""good-for-nothing"" and ""hopeless"". This generalizes and stereotypes their abilities and efforts. The phrase ""old birds"" can also be interpreted as condescending. Therefore, the text contains PCL with presupposition.",True,['Presupposition']
4021,"The text discusses mapping neighborhoods to identify children at risk of maltreatment and clarifies that poverty is not the sole indicator. It does not exhibit any patronizing or condescending language. The text doesn't present shallow solutions, make unwarranted assumptions, romanticize poverty, or use metaphors to obscure meaning. There are no indications of unbalanced power dynamics or an authority voice speaking for the community. It also avoids eliciting pity through exaggerated descriptions.",False,
4022,"The text describes violence against immigrants, focusing on the actions of a specific group. It does not contain language that presents unbalanced power dynamics, shallow solutions, presuppositions, an authoritative voice, metaphors, exaggerated compassion, or romanticizes poverty. It is a straightforward description of violent acts.",False,
4023,"The text does not contain patronizing or condescending language. It discusses updating the governance structure of a sports organization to modernize it, referencing external factors like government interest in sports governance. The language is professional and focused on organizational improvements, without any elements that patronize or condescend to any specific community or group.",False,
4024,The text presents a statistic about violence against women in Northern Tanzania. It does not contain any language that could be interpreted as patronizing or condescending. It simply states a fact.,False,
4025,"The text mentions providing support to parents 'in need of assistance.' While seemingly innocuous, the phrase 'in need of assistance' can be patronizing if it implies a lack of agency or capability on the part of the parents. Without further context, it's difficult to definitively say if the text is patronizing. However, it skirts the line of 'Unbalanced power relations' if the support provider positions themselves as superior or as having the power to 'help' those less fortunate. If the support is framed as a simple fix to complex problems, it can also be regarded as 'Shallow solution'. The term 'in-need' also presupposes the needs.",True,"['Unbalanced power relations', 'Shallow solution', 'Presupposition']"
4026,"The text aims to unite people against economic elites, rather than blaming immigrants. It suggests solidarity and shared struggle, without patronizing or condescending language.",False,
4027,"The text provides factual information about a person's medical conditions and imprisonment. It lacks any language that could be interpreted as patronizing, condescending, or exploiting vulnerability for emotional effect. There is no romanticization of poverty, no shallow solutions offered, and no expression of pity.",False,
4028,"The text describes a situation where the Nigerian High Commission is responding to the arrest of Nigerian immigrants in Kenya. While the situation described involves a vulnerable community (immigrants), the text itself is a factual report on the actions taken by the High Commission and the Kenyan immigration authority. It lacks the characteristics of patronizing or condescending language. The text doesn't romanticize poverty, make assumptions, present shallow solutions, or use metaphors in a way that obscures meaning.",False,
4029,"The text addresses a misconception about bedbugs and their prevalence in low-income housing. It clarifies that bedbugs are not discriminatory and can be found anywhere, but their prevalence in low-income areas is due to population density and lack of resources for treatment. The text aims to dispel stereotypes and provide accurate information, avoiding any patronizing or condescending language. Therefore, it does not contain PCL.",False,
4030,"The text contains a report about abuse of disabled parking bay spaces. It does not employ patronizing or condescending language. The text is a straightforward description of an issue affecting the disabled community, it is not romanticizing poverty, offering shallow solutions, or speaking on behalf of the community.",False,
4031,"The text discusses Jeff Bezos's philanthropic fund aimed at supporting homeless families and education in underserved communities. While the initiative seems positive, describing it as a ""Day One Fund"" could be interpreted as a shallow solution if it's presented as a singular, life-changing fix for complex issues like homelessness and educational disparities. It's also possible that the announcement could be perceived as an unbalanced power relation, with Bezos claiming the power to single-handedly 'solve' these issues with his wealth, which may imply a savior complex.",True,"['Unbalanced power relations', 'Shallow solution']"
4032,"The text expresses a political opinion, framing the Labour-led government's priorities as detrimental to vulnerable workers and the economy. It doesn't exhibit patronizing or condescending language towards the 'vulnerable workers.' The use of the term 'vulnerable' itself, while potentially loaded, doesn't automatically indicate PCL without further context showing an imbalance of power or condescension.",False,
4033,"The text describes a company's response to a political issue (migrant separation policy) and a related statement by Fonda. It presents factual information about the event and actions taken by different parties. There is no language that suggests any form of condescension or patronizing behavior. The text doesn't make assumptions, romanticize poverty, or use metaphors to obscure meaning. It simply reports events and reactions.",False,
4034,"The text expresses a welcome change in the consequences for organizations mistreating women. It acknowledges the potential for corporate penalties, which is a positive development. The tone is generally neutral and does not contain any patronizing or condescending elements. Therefore, the text does not contain PCL.",False,
4035,The text describes how a performer has been interpreted as creating a specific image of a character. The subject (Craig) is not described as vulnerable but as bringing a vulnerable aspect to a character (James Bond). There is no condescension or patronization present. The description of a performer's influence over a character portrayal is not inherently PCL.,False,
4036,"The text presents statistics about job allocation and literacy rates without clear context or connection to a solution. It uses the term ""acute joblessness"" which can be interpreted as a form of exaggeration to elicit pity. It implies a negative contrast between immigrants getting jobs and the educational struggles of native-born children. The text could be interpreted as presupposing that immigration is detrimental to the white working-class and Afro-Caribbean boys. The phrase 'to increase the pressure on them and on policy determiners to find long-term solutions' shows an unbalanced power relation, claiming the power to put pressure on policy determiners.",True,"['Unbalanced power relations', 'Presupposition', 'Compassion']"
4037,"The text provides factual information about Hispanic migrants using data from the Pew Research Center. It compares their age and labor force participation to the US median, without patronizing language. There are no signs of unbalanced power dynamics, shallow solutions, presuppositions, authority voice, metaphors, compassion, or romanticization of poverty.",False,
4038,"The text describes a factual event (houses set on fire and people becoming homeless) without any patronizing or condescending language. It doesn't present any biased views, oversimplifications, or romanticization of the situation.",False,
4039,"The text uses the term 'hopeless' to describe Drogheda United, which can be seen as a demeaning and insensitive way to refer to a sports team and, by extension, the community associated with it. This language evokes a sense of pity and reinforces a negative stereotype, fitting the 'Compassion' category, as it elicits a specific emotion about the vulnerable community. It also uses the category 'Presupposition' because it generalizes the team's state as a chronic feature.",True,"['Presupposition', 'Compassion']"
4040,"The text presents a partnership aimed at assisting persons with disabilities, which on the surface appears benevolent. However, it uses language that suggests a goal of minimizing dependency, implying that dependency is inherently negative. Additionally, the phrase 'get through their daily operations' sounds like a metaphor. However, it is not patronizing as it does not have the intention to condescend or show superiority.",False,
4041,"The text doesn't display patronizing or condescending language. It presents a potential link between an individual and assaults based on reported conversations, which is a factual statement rather than an expression of condescension or pity.",False,
4042,"The text provides information about thyroid cancer and the circumstances under which immediate treatment is required. It identifies specific groups of people who are at higher risk and need prompt care. The tone is informative and objective, without any elements of condescension or patronizing language. It does not present any unbalanced power relations, shallow solutions, presuppositions, an authoritative voice, metaphors, compassion, or romanticization of poverty.",False,
4043,"The text uses the phrase ""are putting us all to shame,"" which, although seemingly complimentary, could be interpreted as a form of condescension. It may be seen as an indirect criticism of others who are not providing as much support, potentially creating an unbalanced power dynamic where the author indirectly praises some while shaming others. Additionally, framing Syrian refugees as simply 'homeless Syrian families' and focusing on the support offered by other countries reduces the complexity and specific needs of the refugee crisis, potentially fitting the 'Metaphor' category by softening the severity through the use of euphemisms. While compassion might be present in other interpretations, the elements of power imbalance and softening of true meaning seem more pertinent.",True,"['Unbalanced power relations', 'Metaphor']"
4044,The text does not contain any language that could be considered patronizing or condescending. It simply reports on a political situation regarding funding and debate on the future of young immigrants.,False,
4045,"The text uses the phrase ""flood of immigrants,"" which can be considered a metaphor that dehumanizes immigrants and exaggerates their numbers. It also presents South Africa as passively dealing with this ""flood,"" suggesting a lack of agency or planning on the immigrants' part. This negatively stereotypes the immigrant community.",True,"['Metaphor', 'Presupposition']"
4046,"The provided text does not contain patronizing or condescending language. It expresses an opinion about immigration and does not exhibit any of the characteristics associated with PCL categories like unbalanced power relations, shallow solutions, presuppositions, authority voice, metaphor, compassion, or romanticization of poverty.",False,
4047,"The text provides factual information about a petition and its signatories, addressing specific political figures regarding the ""hostile environment"" for immigrants. There is no language suggesting unbalanced power relations, shallow solutions, presuppositions, acting as an authority voice, metaphors, compassion, or romanticization of poverty. The text maintains a neutral and informative tone without patronizing or condescending elements. Therefore, the text does not contain PCL.",False,
4048,"The text describes a political disagreement regarding migration policy, without exhibiting any of the defined characteristics of patronizing or condescending language. There are no power imbalances expressed, shallow solutions offered, presuppositions made, authority voices presented, metaphors employed, compassion elicited, or romanticization of poverty.",False,
4049,"The text uses a metaphor by comparing the prime minister's actions to deporting illegal immigrants in person. The phrase 'struck gold' also uses metaphor. The language is also intended to evoke compassion, with the reference to the migrants. The reference to 'illegal immigrants' also evokes unbalanced power relations between the authority and the immigrants.",True,"['Unbalanced power relations', 'Metaphor', 'Compassion']"
4050,The text describes a situation where a friend experienced an unfair practice at work and felt the situation was hopeless due to the boss's behavior. It doesn't contain any elements of patronizing or condescending language related to the listed categories.,False,
4051,"The text discusses the inability of some people to afford housing, even with their entire income. It suggests that these households need social housing, which is subsidized by the government. The text does not contain any patronizing or condescending language. It acknowledges the economic reality for some families and the role of government assistance.",False,
4052,"The text presents a former homeless man alongside a well-off volunteer, potentially highlighting a power dynamic and contrasting their situations. While not overtly patronizing, the mention of the homeless man's criminal history and the contrast with the volunteer's description could be seen as subtly condescending and relying on presuppositions about homeless individuals.",True,['Presupposition']
4053,"The text describes a rescue operation of migrants and provides factual information about their origin. It does not contain any language that could be considered patronizing or condescending. There are no power imbalances expressed, no shallow solutions proposed, no presuppositions made, no one is speaking on behalf of the migrants, no metaphors are used, and there is no romanticization of their poverty.",False,
4054,"The text presents a statement of facts about a political figure's immigration plan. It does not contain any patronizing or condescending language towards the migrant community. Therefore, it's not considered PCL.",False,
4055,"The text presents a statistic about Korean women being battered and mentions hotline calls. While alarming, the text doesn't employ any patronizing or condescending language. It doesn't romanticize poverty, use metaphors to soften the situation, or present shallow solutions. It simply states a fact and its source.",False,
4056,"The text uses the term 'illegal migrants,' which is a loaded term that can be considered pejorative and dehumanizing. Accusing them of voting during civic polls without providing evidence can be seen as a generalization or stereotype, implying a presupposition of wrongdoing based on their migrant status.",True,['Presupposition']
4057,"The text describes a project aimed at helping vulnerable districts in Zimbabwe. It mentions financial and technical support from international organizations and specifies the target population, budget, and duration of the project. The language used is factual and descriptive, focusing on the details of the initiative rather than employing any patronizing or condescending language.",False,
4058,"The text presents factual information about refugees arriving in Europe and their need for accommodation. It cites the UN refugee agency (UNHCR) as the source. The text does not contain any elements of patronizing or condescending language. It avoids generalizations, romanticizing poverty, or using metaphors to obscure the situation. It simply states the facts.",False,
4059,"The text contains PCL. The author positions themselves as someone who can 'fix the law' for migrant workers. This suggests an unbalanced power dynamic, where the author claims the power to give rights that they may not have. Additionally, it can be seen as an authority voice because the author speaks on behalf of the migrant community without necessarily consulting them or being a part of that community.",True,"['Unbalanced power relations', 'Authority voice']"
4060,"The text uses the word 'vulnerable' to describe the community, which is acceptable. The text describes a humanitarian effort to provide food to the most vulnerable. This does not imply any unbalanced power dynamic, romanticize poverty, or present a shallow solution as a deep one. Therefore, it is not patronizing or condescending.",False,
4061,"The text states that the declaration would give the species better chances of survival. It simply explains the potential positive impact of the declaration on the species' survival, without exhibiting any patronizing or condescending language towards the community.",False,
4062,The text does not contain patronizing or condescending language. It simply states a policy position of a political figure regarding undocumented immigrants.,False,
4063,The text does not contain any elements of patronizing or condescending language. It is a straightforward statement of fact from an individual about their reliance on social welfare.,False,
4064,"The text discusses the establishment of a cadet college and merit-based admissions for children from poor families. While the initiative aims to provide opportunities, it presents a shallow solution to the systemic issues affecting poor families. By focusing solely on education, it neglects other crucial aspects of poverty, like healthcare, housing, and nutrition. Additionally, announcing merit admissions specifically for children from poor families, the author makes assumptions about their capabilities and potential without valid sources. This suggests a subtle form of condescension.",True,"['Shallow solution', 'Presupposition']"
4065,"The text presents the subject as uniquely positioned ('one of the few...') to understand and address the needs of immigrants, despite his privileged background. This highlights an imbalance in power dynamics, where someone from a more advantaged position is positioned as an authority on the immigrant experience. While the intention behind the organization might be good, the way the individual's background is presented can come across as patronizing by emphasizing the contrast between his privileged background and the target community.",True,"['Unbalanced power relations', 'Authority voice']"
4066,"The text highlights an exploitative practice where wealthy individuals allegedly harm poor individuals, offer superficial assistance, and then leverage the situation to seize their land. This dynamic demonstrates an imbalance of power, a shallow solution (medical bill coverage as compensation for inflicted harm), and a presupposition that poor families are unable to repay debts.",True,"['Unbalanced power relations', 'Shallow solution', 'Presupposition']"
4067,The text describes a video game. There is no indication of patronizing or condescending language towards any community.,False,
4068,"The text describes a sports team's improved chances of avoiding relegation. It uses the word 'hopeless' to describe their initial situation, but this is within the context of a sporting competition and does not patronize or condescend towards a vulnerable community. The text does not fall into any of the defined PCL categories.",False,
4069,"The text discusses the impact of statistical sampling on vulnerable communities and municipalities, arguing that it leads to inaccurate counts and negatively impacts public policy. It also highlights the flawed logic of excluding individuals who don't return census forms, suggesting it disproportionately affects vulnerable populations. The use of terms like 'disastrous public policy' and 'most vulnerable citizens' indicates a concern for the well-being of the community, but the tone can be interpreted as somewhat condescending due to its authoritative and pitying tone.",True,['Compassion']
4070,"The text discusses the government's efforts to regulate the return of illegal immigrants and combat human trafficking. It also mentions offering assistance to law enforcement agencies. There's no language that positions the author with unbalanced power, offers shallow solutions, makes unsupported assumptions, speaks on behalf of the community, uses metaphors to obscure meaning, evokes pity, or romanticizes poverty. Therefore, it does not exhibit PCL.",False,
4071,"The text presents a factual news report about a crime and does not contain any elements of patronizing or condescending language. It avoids making assumptions, generalizing experiences, or using stereotypes, and it does not romanticize poverty or use euphemisms to soften the true meaning of the situation.",False,
4072,"The text describes the actions of Bodu Bala priests following their chieftain's arrest. It mentions their travel to Seenigama Devalaya, a place known for providing help to those in need and also for seeking vengeance. The text does not explicitly express any patronizing or condescending views towards the community or individual. The text informs.",False,
4073,The text reports on accusations of mistreatment of immigrants by an employer. It highlights the vulnerability of the community (migrant) without employing patronizing or condescending language. The language is neutral and focuses on reporting the facts.,False,
4074,"The text uses exaggerated descriptions of Linda's situation (""seemingly perfect life"", ""rich, generous and faithful husband"", ""two wonderful children"", ""cushy job"", ""head-turning looks"") to elicit pity for her midlife crisis. This is a form of condescension, as it frames her problems as trivial compared to others and uses potentially flowery and poetic descriptions. Therefore it contains PCL.",True,['Compassion']
